,0
0,663020
1,663021
2,663022
3,663023
4,663024
5,663025
6,663026
7,663028
8,16649
9,16674
10,101411
11,101423
12,101426
13,101448
14,65307
15,65308
16,568633
17,568635
18,596936
19,596947
20,142872
21,142873
22,478399
23,478407
24,718737
25,718739
26,347861
27,347862
28,347864
29,347865
30,347866
31,347867
32,347868
33,347869
34,347870
35,347871
36,347872
37,347873
38,347874
39,347875
40,347876
41,347877
42,347878
43,347879
44,347880
45,347881
46,347882
47,347883
48,347884
49,347885
50,347886
51,683936
52,683937
53,352566
54,352571
55,1444
56,1445
57,410911
58,410973
59,66794
60,66795
61,659813
62,659823
63,615335
64,615339
65,503938
66,503939
67,503940
68,503941
69,503942
70,503943
71,503945
72,503946
73,593757
74,593758
75,622140
76,622142
77,653373
78,653381
79,653408
80,653416
81,175960
82,175962
83,226861
84,226862
85,226863
86,226864
87,343068
88,343069
89,343070
90,343071
91,343072
92,343073
93,343074
94,343075
95,343076
96,343077
97,343078
98,343079
99,343080
100,343081
101,343082
102,343083
103,343084
104,343085
105,343086
106,343087
107,343088
108,343089
109,343090
110,343091
111,343092
112,343093
113,343094
114,343095
115,343096
116,343097
117,343098
118,343099
119,343100
120,343101
121,74153
122,74154
123,74155
124,74156
125,74157
126,74158
127,74159
128,74160
129,74161
130,74162
131,74163
132,501834
133,501838
134,371524
135,371525
136,195098
137,195136
138,155795
139,155796
140,155798
141,76158
142,76162
143,628986
144,628989
145,683216
146,683219
147,642047
148,642069
149,510111
150,510146
151,721551
152,721552
153,459374
154,459377
155,331059
156,331063
157,13331
158,13333
159,43988
160,43991
161,116354
162,116365
163,506205
164,506214
165,506217
166,506219
167,417102
168,417103
169,322184
170,322201
171,302363
172,302376
173,403512
174,403517
175,138900
176,138907
177,505780
178,505781
179,505782
180,505783
181,505784
182,505785
183,505786
184,282224
185,282228
186,102406
187,102411
188,540347
189,540359
190,583204
191,583233
192,236637
193,236640
194,555206
195,555207
196,555208
197,555209
198,555210
199,555211
200,555212
201,555213
202,555214
203,555215
204,555216
205,555217
206,555218
207,555219
208,555220
209,555221
210,555222
211,555223
212,555224
213,555225
214,555226
215,555227
216,555228
217,555229
218,555230
219,555231
220,555232
221,555233
222,555234
223,555235
224,555236
225,555237
226,555238
227,555239
228,555240
229,555241
230,555242
231,555243
232,555244
233,555245
234,555246
235,555247
236,555248
237,555249
238,555250
239,555251
240,555252
241,555253
242,555254
243,555255
244,555256
245,555257
246,555258
247,555259
248,555260
249,555261
250,555262
251,555263
252,555264
253,555265
254,555266
255,555267
256,555268
257,555269
258,555270
259,555271
260,555272
261,488232
262,488233
263,488234
264,488235
265,488236
266,488237
267,488238
268,643377
269,643382
270,66068
271,66069
272,66070
273,66071
274,66072
275,66073
276,66074
277,66076
278,394003
279,394004
280,394005
281,394006
282,190923
283,190927
284,462446
285,462447
286,216955
287,216956
288,216957
289,216958
290,216959
291,216960
292,216961
293,216962
294,216963
295,216964
296,216965
297,628068
298,628077
299,529328
300,529330
301,82348
302,82349
303,204937
304,204939
305,161556
306,161583
307,284017
308,284018
309,284019
310,284020
311,284021
312,284022
313,284023
314,284024
315,583661
316,583662
317,645595
318,645607
319,556492
320,556503
321,538251
322,538252
323,617542
324,617551
325,134243
326,134244
327,134245
328,134246
329,134247
330,219130
331,219131
332,219132
333,219133
334,219134
335,219135
336,219136
337,219137
338,219138
339,219139
340,219140
341,623601
342,623604
343,126925
344,126939
345,658400
346,658403
347,317459
348,317460
349,317461
350,317462
351,317463
352,317464
353,236398
354,236405
355,314365
356,314366
357,44882
358,44883
359,44825
360,44826
361,254694
362,254734
363,228554
364,228555
365,228556
366,228557
367,228558
368,228559
369,228561
370,571759
371,571762
372,141381
373,141394
374,74200
375,74201
376,74202
377,74203
378,74204
379,74205
380,74206
381,74207
382,74208
383,74209
384,74210
385,74211
386,74212
387,74213
388,74214
389,74215
390,74216
391,74217
392,74218
393,74219
394,74220
395,74221
396,74222
397,74223
398,74224
399,74225
400,74226
401,74227
402,74228
403,74229
404,74230
405,74231
406,74232
407,74233
408,74234
409,74235
410,74236
411,74237
412,74238
413,74239
414,74240
415,74241
416,74242
417,74243
418,74244
419,74245
420,74246
421,74247
422,74248
423,74249
424,74250
425,74251
426,74252
427,74253
428,74254
429,74255
430,74256
431,74257
432,74258
433,74259
434,74260
435,74261
436,74262
437,74263
438,74264
439,74265
440,74266
441,74267
442,687564
443,687567
444,344452
445,344453
446,344454
447,344455
448,344456
449,344457
450,344458
451,344459
452,344460
453,344461
454,344462
455,344463
456,344465
457,134189
458,134190
459,234090
460,234093
461,270511
462,270513
463,146516
464,146517
465,146518
